3.159646356465983241e-01 -1.000000000000000000e+00 -1.000000000000000000e+00
8.310705871029430147e-01 -1.000000000000000000e+00 -1.000000000000000000e+00
7.283125987570562287e-01 0.000000000000000000e+00 1.000000000000000056e-01
6.851790661750811751e-01 1.000000000000000056e-01 2.000000000000000111e-01
6.879157091968240989e-01 2.000000000000000111e-01 3.000000000000000444e-01
6.523058800565075810e-01 3.000000000000000444e-01 4.000000000000000222e-01
6.125706556700514227e-01 4.000000000000000222e-01 5.000000000000000000e-01
5.796691217444032151e-01 5.000000000000000000e-01 6.000000000000000888e-01
5.147064838956533217e-01 6.000000000000000888e-01 8.000000000000000444e-01
4.957934795284157925e-01 8.000000000000000444e-01 1.000000000000000000e+00
