3.157311499774099195e-01 -1.000000000000000000e+00 -1.000000000000000000e+00
8.312677941930194381e-01 -1.000000000000000000e+00 -1.000000000000000000e+00
6.669020440979398501e-01 0.000000000000000000e+00 1.000000000000000056e-01
6.306125344658304321e-01 1.000000000000000056e-01 2.000000000000000111e-01
6.337307632949492620e-01 2.000000000000000111e-01 3.000000000000000444e-01
6.021054442664094397e-01 3.000000000000000444e-01 4.000000000000000222e-01
5.663138761947417166e-01 4.000000000000000222e-01 5.000000000000000000e-01
5.367325351701670577e-01 5.000000000000000000e-01 6.000000000000000888e-01
4.784852137017937546e-01 6.000000000000000888e-01 8.000000000000000444e-01
4.604295380088654910e-01 8.000000000000000444e-01 1.000000000000000000e+00
