# z sig8 sig8(1sigma)
1.000000e-01 7.462475e-01 7.462475e-03
2.000000e-01 7.080257e-01 7.080257e-03
3.000000e-01 6.721066e-01 6.721066e-03
4.000000e-01 6.384399e-01 6.384399e-03
5.000000e-01 6.070077e-01 6.070077e-03
6.000000e-01 5.777693e-01 5.777693e-03
7.000000e-01 5.506239e-01 5.506239e-03
8.000000e-01 5.254564e-01 5.254564e-03
9.000000e-01 5.021321e-01 5.021321e-03
1.000000e+00 4.805132e-01 4.805132e-03
