3.160193800856265778e-01 -1.000000000000000000e+00 -1.000000000000000000e+00
8.310404625353828845e-01 -1.000000000000000000e+00 -1.000000000000000000e+00
7.602149421175522503e-01 0.000000000000000000e+00 1.000000000000000056e-01
7.127020344651818773e-01 1.000000000000000056e-01 2.000000000000000111e-01
7.159044177162768863e-01 2.000000000000000111e-01 3.000000000000000444e-01
6.781655185859891688e-01 3.000000000000000444e-01 4.000000000000000222e-01
6.359734504696125112e-01 4.000000000000000222e-01 5.000000000000000000e-01
6.016276675903556859e-01 5.000000000000000000e-01 6.000000000000000888e-01
5.336942094708798656e-01 6.000000000000000888e-01 8.000000000000000444e-01
5.135708760066870493e-01 8.000000000000000444e-01 1.000000000000000000e+00
